的	〔白勹丶 · unid〕
吁	〔口一 · dfns〕
栏	〔木丷三 · ehts〕
巾	〔巾 · rj〕
罕	〔冖八干 · wheg〕
链	〔钅车辶 · zyuc〕
溪	〔氵爫幺大 · kyim〕
趟	〔走尚 · pss〕
坑	〔土亠几 · gzoj〕
躯	〔身匸㐅 · znbi〕
吏	〔一口 · fdbi〕
歉	〔䒑欠 · hbce〕
沾	〔氵⺊口 · kydk〕
妮	〔女尸匕 · bcvb〕
筋	〔⺮月力 · rvsl〕
殷	〔㐆殳 · zrs〕
棒	〔木㇏ · eaiu〕
坠	〔阝人土 · tjgt〕
渊	〔氵米 · kppm〕
匠	〔匚斤 · ntj〕
耍	〔而女 · lbn〕
葡	〔艹勹甫 · lnnf〕
寡	〔宀刀 · wwpd〕
捏	〔扌日土 · uogt〕
鸭	〔甲鸟 · sxn〕
冤	〔冖兔 · wwt〕
钉	〔钅丁 · zad〕
舟	〔舟 · io〕
瞎	〔目宀丰口 · qwad〕
笨	〔⺮木一 · refi〕
辰	〔辰 · fc〕
瞒	〔目艹两 · qlml〕
剪	〔䒑⺝刂刀 · hvpp〕
耻	〔耳止 · qsi〕
漆	〔氵木人氺 · kejk〕
阎	〔门⺈臼 · axpj〕
骇	〔马亥 · nkh〕
擅	〔扌亠囗一 · uzrf〕
孕	〔乃子 · vhi〕
诡	〔讠⺈厂⺋ · sxxz〕
莎	〔艹氵𡭔丿 · lkyt〕
昔	〔龷日 · lor〕
蠢	〔㇏日虫 · aioc〕
宠	〔宀龙 · wtl〕
茅	〔艹予丿 · litp〕
谦	〔讠䒑 · shbc〕
淋	〔氵木木 · keem〕
账	〔贝长 · opc〕
胶	〔月六乂 · vabi〕
玑	〔王几 · noj〕
胀	〔月长 · vpc〕
庸	〔广肀 · xbty〕
衙	〔行五口 · pwdk〕
乞	〔𠂉乙 · eai〕
媚	〔女目 · bcqm〕
膝	〔月木人氺 · vejk〕
逮	〔氺辶 · bkuc〕
宛	〔宀夕⺋ · wlzj〕
翔	〔⺶羽 · gzv〕
夷	〔大弓 · mbg〕
骚	〔马又丶虫 · nric〕
荆	〔艹一廾刂 · lflp〕
杭	〔木亠几 · ezoj〕
裸	〔衤田木 · tqem〕
乖	〔千匕 · lavb〕
姨	〔女大弓 · bmbg〕
哑	〔口一业 · dfcy〕
嚷	〔口衣口一 · dtdf〕
旺	〔日王 · onw〕
叉	〔又丶 · rid〕
恍	〔忄光 · hmg〕
惶	〔忄白王 · hunw〕
咒	〔口口几 · ddoj〕
镖	〔钅覀示 · zvfs〕
亨	〔了 · grl〕
窜	〔穴口口丨 · eddg〕
杖	〔木一 · efbi〕
蝶	〔虫廿㇗木 · clae〕
逸	〔兔辶 · wuc〕
恕	〔女口心 · bdhx〕
搏	〔扌甫寸 · unkc〕
焰	〔火⺈臼 · cxpj〕
绣	〔纟禾乃 · ixvn〕
禧	〔礻壴口 · fhdk〕
淫	〔氵爫㇒士 · kytg〕
丐	〔一⺊ㄅ · fyae〕
碑	〔石白丿十 · mutn〕
鹅	〔丿扌戈鸟 · tupx〕
蒲	〔艹氵甫 · lknf〕
阐	〔门丷田十 · ahqn〕
轿	〔丿大 · ytmp〕
伞	〔人丷十 · jhns〕
蔽	〔艹㡀攵 · lfhp〕
咐	〔口亻寸 · djkc〕
兆	〔儿冫 · pwwb〕
爽	〔大乂乂乂 · mbbb〕
豹	〔豸勹丶 · mnid〕
弦	〔弓亠幺 · bziy〕
薪	〔艹立木斤 · liet〕
冥	〔冖日六 · woal〕
捐	〔扌口⺝ · udvy〕
谎	〔讠艹亡 · slfo〕
愧	〔忄鬼 · hag〕
衷	〔衣口丨 · tdgs〕
倏	〔亻丨夂犬 · jghm〕
猿	〔犭土口 · mgdt〕
哇	〔口土土 · dggt〕
粘	〔米⺊口 · pydk〕
栽	〔十戈木 · npem〕
浦	〔氵甫 · knf〕
掀	〔扌斤欠 · uteq〕
脂	〔月匕日 · vvor〕
嘲	〔口十日月 · dnov〕
框	〔木匚王 · ennw〕
矩	〔矢匚コ · onnk〕
龟	〔龟 · wg wgg〕
叠	〔又又又且 · rrrf〕
谊	〔讠宀且 · swfq〕
脊	〔冫人⺝ · wwjv〕
刮	〔舌刂 · apd〕
兔	〔兔 · wt wtt〕
哨	〔口⺌⺝ · dyvy〕
娶	〔耳又女 · qrbn〕
聘	〔耳由一ㄅ · qdfa〕
慨	〔忄旡 · hidu〕
俺	〔亻大日乚 · jmoa〕
嗓	〔口又又木 · drre〕
舅	〔臼田力 · pqsl〕
寓	〔宀田⽱ · wqvr〕
戚	〔戊⺊一小 · nyfy〕
仑	〔仑 · jl〕
恳	〔艮心 · ihx〕
瘤	〔疒田 · abqt〕
掘	〔扌尸屮凵 · ucsm〕
浴	〔氵谷 · khg〕
倡	〔亻日曰 · joor〕
裹	〔衣田木 · tqem〕
圳	〔土川 · goc〕
渠	〔氵匚コ木 · knne〕
钓	〔钅勹丶 · znid〕
涵	〔氵乛氺凵 · kakm〕
泼	〔氵又丶 · ksri〕
瓷	〔冫欠瓦 · werw〕
祈	〔礻斤 · ftj〕
窄	〔穴乍 · ewa〕
拂	〔扌弗 · utf〕
巢	〔巛田木 · oqem〕
贞	〔⺊贝 · yob〕
纱	〔纟𡭔丿 · iytp〕
绑	〔纟阝 · iate〕
茂	〔艹戊 · lnu〕
砖	〔石二丶 · mmai〕
谱	〔讠䒑业日 · shco〕
坟	〔土文 · gvw〕
噢	〔口丿冂大 · dtmm〕
硕	〔石页 · mwy〕
侄	〔亻至 · jyi〕
蹲	〔⻊丷酉寸 · phyk〕
甩	〔用乚 · tae〕
匈	〔勹㐅凵 · nbmk〕
胳	〔月各 · vsg〕
躬	〔身弓 · zbg〕
徽	〔彳山一攵 · wvfh〕
邵	〔刀口阝 · pdte〕
蜀	〔罒勹虫 · yncc〕
篮	〔⺮〢皿 · rpra〕
竖	〔〢又立 · pril〕
颁	〔八刀页 · hpwy〕
焉	〔一止一灬 · fsfc〕
壶	〔士冖业 · gwcy〕
浸	〔氵彐冖又 · kbwr〕
萄	〔艹勹缶 · lnaf〕
僚	〔亻大丷小 · jmhy〕
玫	〔王攵 · nhp〕
桓	〔木一日一 · efof〕
攀	〔木乂乂手 · ebbu〕
撰	〔扌巳巳八 · uvvh〕
旬	〔勹日 · nor〕
媳	〔女自心 · bohx〕
嘻	〔口壴口 · dhdk〕
蒸	〔艹乛水灬 · lakc〕
裙	〔衤丿口 · tbtd〕
滥	〔氵〢皿 · kpra〕
愕	〔忄口口ㄅ · hdda〕
讽	〔讠⺇乂 · sobi〕
霜	〔⻗木目 · teqm〕
诏	〔讠刀口 · spdk〕
躁	〔⻊口口木 · pdde〕
厘	〔厂里 · xdl〕
憾	〔忄戊一心 · hnfh〕
帘	〔穴巾 · erj〕
巷	〔龷八巳 · lhvs〕
溶	〔氵宀谷 · kwhg〕
勋	〔口贝力 · dosl〕
亩	〔亠田 · zqt〕
晰	〔日木斤 · oetj〕
滞	〔氵冖巾 · klwr〕
舆	〔车 · pyhb〕
咸	〔戊一口 · nfdk〕
衔	〔行钅 · pzj〕
邱	〔一阝 · tfte〕
挫	〔扌人人土 · ujjg〕
搁	〔扌门各 · uasg〕
桩	〔木广土 · exgt〕
雀	〔𡭔隹 · yui〕
辣	〔束 · nxs〕
诧	〔讠宀丿七 · swtr〕
哗	〔口亻十 · djvn〕
屡	〔尸米女 · cpbn〕
喻	〔口亼⺝刂 · djvp〕
窑	〔穴缶 · eaf〕
踩	〔⻊爫木 · pyem〕
鸦	〔牙鸟 · lxn〕
郊	〔六乂阝 · abte〕
株	〔木丿未 · etaw〕
秃	〔禾几 · xoj〕
禄	〔礻氺 · fbks〕
厦	〔厂一自夊 · xfoh〕
卒	〔亠人人十 · zjjn〕
丸	〔九丶 · kid〕
聂	〔耳又又 · qrry〕
雁	〔厂亻隹 · xjui〕
琳	〔王木木 · neem〕
虏	〔虍力 · zsl〕
汝	〔氵女 · kbn〕
肢	〔月支 · vci〕
咕	〔口古 · dcg〕
耽	〔耳冖 · qwpe〕
咖	〔口力口 · dsdk〕
煌	〔火白王 · cunw〕
肆	〔镸聿 · pbv〕
哄	〔口龷八 · dlhb〕
弊	〔㡀攵廾 · fhlc〕
耿	〔耳火 · qch〕
叮	〔口丁 · dad〕
倦	〔亻丷夫⺋ · jhhz〕
腺	〔月白水 · vuks〕
彪	〔虎彡 · zes〕
鹤	〔冖隹鸟 · wuxn〕
尴	〔尢〢皿 · opra〕
巩	〔工几丶 · uoid〕
焚	〔木木火 · eech〕
饼	〔饣䒑廾 · qhlc〕
鄙	〔口十囗阝 · dnrt〕
拢	〔扌龙 · utl〕
瞄	〔目艹田 · qlqt〕
勿	〔勹 · nes〕
菊	〔艹勹米 · lnpm〕
厢	〔厂木目 · xeqm〕
腕	〔月宀夕⺋ · vwlz〕
斋	〔文而 · vle〕
诈	〔讠乍 · swa〕
呜	〔口乌 · dxu〕
怯	〔忄土厶 · hgks〕
铸	〔钅寸 · zakc〕
诀	〔讠人 · snjr〕
绢	〔纟口⺝ · idvy〕
魄	〔白鬼 · uag〕
婉	〔女宀夕⺋ · bwlz〕
兜	〔白コ儿 · ubnp〕
涅	〔氵日土 · kogt〕
禀	〔亠囗口示 · zrdf〕
驴	〔马户 · nmh〕
垄	〔龙土 · tgt〕
擒	〔扌人亠禸 · ujzv〕
囚	〔囗人 · rjr〕
捞	〔扌艹冖力 · ulws〕
舶	〔舟白 · iub〕
倚	〔亻大可 · jmzk〕
喀	〔口宀各 · dwsg〕
贱	〔贝一戈 · ofpg〕
稣	〔鱼禾 · wxh〕
冀	〔匕田八 · avqh〕
厄	〔厂⺋ · xzj〕
溢	〔氵皿 · kkam〕
炭	〔山𠂇火 · vnch〕
稽	〔禾尤匕日 · xovo〕
渗	〔氵厶大彡 · kkme〕
泣	〔氵立 · kil〕
罐	〔缶艹口隹 · aldu〕
螺	〔虫田糸 · cqis〕
衍	〔行氵 · pks〕
狡	〔犭六乂 · mabi〕
桶	〔木龴 · ekty〕
塌	〔土⺜羽 · gozv〕
卸	〔卩 · azj〕
嘶	〔口斤 · dzht〕
帆	〔巾几丶 · roid〕
侨	〔亻丿大 · jtmp〕
逗	〔豆辶 · zuc〕
昧	〔日未 · oaw〕
蓦	〔艹日大马 · lomn〕
坎	〔土欠 · geq〕
棺	〔木宀㠯 · ewki〕
荐	〔艹丨子 · lngh〕
雌	〔匕隹 · svui〕
棚	〔木月月 · evvy〕
靖	〔立龶⺝ · iavy〕
裴	〔非衣 · rti〕
栖	〔木西 · evx〕
钧	〔钅勹冫 · znwb〕
贩	〔贝⺁又 · oxry〕
啡	〔口非 · drf〕
衬	〔衤寸 · tkc〕
兑	〔丷口儿 · hdpe〕
榜	〔木冖方 · eiwl〕
魁	〔鬼斗 · ajd〕
谜	〔讠米辶 · spuc〕
毙	〔匕歹匕 · vvgv〕
麽	〔麻丿厶 · ztks〕
瞥	〔㡀攵目 · fhqm〕
纺	〔纟方 · ilf〕
掷	〔扌䒑大阝 · uhmt〕
肾	〔〢又⺝ · prvy〕
烛	〔火虫 · ccc〕
谬	〔讠羽人彡 · szje〕
锻	〔钅一殳 · zufr〕
芦	〔艹户 · lmh〕
膨	〔月彡 · vhes〕
珊	〔王册 · nic〕
刃	〔刀丶 · pid〕
隙	〔阝𡭔日小 · tyoy〕
垒	〔厶厶厶土 · kkkg〕
嫩	〔女束攵 · bxhp〕
钥	〔钅月 · zvy〕
塘	〔土广肀口 · gxbd〕
韵	〔音勹冫 · xnwb〕
旱	〔日干 · oeg〕
咨	〔冫欠口 · wedk〕
喇	〔口束刂 · dxpd〕
驼	〔马宀匕 · nwvb〕
颂	〔八厶页 · hkwy〕
譬	〔尸口辛言 · cdns〕
尹	〔丿 · btp〕
傍	〔亻冖方 · jiwl〕
坊	〔土方 · glf〕
哟	〔口纟勹丶 · dini〕
忖	〔忄寸 · hkc〕
霉	〔⻗𠂉母 · tekm〕
苹	〔艹干丷 · lehb〕
佣	〔亻用 · jty〕
搂	〔扌米女 · upbn〕
堤	〔土日 · gots〕
怡	〔忄厶口 · hkdk〕
淘	〔氵勹缶 · knaf〕
谍	〔讠廿㇗木 · slae〕
藩	〔艹氵丿田 · lktq〕
贬	〔贝丿之 · otri〕
斧	〔八乂斤 · hbtj〕
糕	〔米⺷灬 · pgch〕
俞	〔亼⺝刂 · jvpd〕
颖	〔匕禾页 · vxwy〕
砰	〔石干丷 · mehb〕
稻	〔禾爫臼 · xypj〕
熙	〔巳灬 · qvch〕
盏	〔一戈皿 · fpam〕
棠	〔木 · sem〕
黯	〔音 · pxy〕
襄	〔衣口口一 · tddf〕
烤	〔火耂一ㄅ · cqfa〕
詹	〔⺈厂八言 · xxhs〕
煮	〔耂日灬 · qoch〕
魅	〔鬼未 · aaw〕
蕴	〔艹纟日皿 · lioa〕
谐	〔讠匕白 · svvu〕
谕	〔讠亼⺝刂 · sjvp〕
骆	〔马各 · nsg〕
捆	〔扌囗木 · urem〕
剿	〔巛田木刂 · oqep〕
枕	〔木冖 · ewpe〕
轴	〔由 · ydy〕
笛	〔⺮由 · rdy〕
挟	〔扌夫丷 · uhhb〕
逾	〔亼⺝刂辶 · jvpu〕
咧	〔口歹刂 · dgpd〕
斌	〔文一弋止 · vfps〕
捡	〔扌亼⺍一 · ujkf〕
壤	〔土衣口一 · gtdf〕
黛	〔亻弋黑 · jpph〕
沼	〔氵刀口 · kpdk〕
辐	〔一口田 · yfdq〕
娱	〔女口一大 · bdfm〕
淑	〔氵⺊一又 · kyfr〕
淹	〔氵大日乚 · kmoa〕
窦	〔穴十乛大 · enam〕
呐	〔口冂人 · dmjr〕
灿	〔火山 · cvs〕
迦	〔力口辶 · sduc〕
绅	〔纟日丨 · iogs〕
禽	〔人亠㐅禸 · jzbv〕
犬	〔犬 · mq〕
倩	〔亻龶⺝ · javy〕
彦	〔厂彡 · ixes〕
伽	〔亻力口 · jsdk〕
蹄	〔⻊冖巾 · piwr〕
枢	〔木匸㐅 · enbi〕
啪	〔口扌白 · duub〕
妾	〔立女 · ibn〕
搅	〔扌⺍冖见 · ukwe〕
汁	〔氵十 · kns〕
凛	〔冫亠囗示 · wzrf〕
羡	〔⺷冫欠 · gweq〕
伺	〔亻㇆一口 · jafd〕
蚁	〔虫丶乂 · cibi〕
剖	〔立口刂 · idpd〕
幢	〔巾立里 · ridl〕
绞	〔纟六乂 · iabi〕
瞅	〔目禾火 · qxch〕
俏	〔亻⺌⺝ · jyvy〕
娟	〔女口⺝ · bdvy〕
奢	〔大耂日 · mqor〕
膊	〔月甫寸 · vnkc〕
谴	〔讠㠯辶 · scku〕
丙	〔一冂人 · fmjr〕
滨	〔氵宀 · kwth〕
窥	〔穴夫见 · ehej〕
斐	〔非文 · rvw〕
祷	〔礻寸 · fakc〕
藉	〔艹耒龷日 · lalo〕
敞	〔尚攵 · shp〕
厮	〔厂斤 · xzht〕
凰	〔几白王 · ounw〕
咯	〔口各 · dsg〕
顷	〔页 · vwy〕
沸	〔氵弗 · ktf〕
绸	〔纟冂土口 · imgd〕
椎	〔木隹 · eui〕
莹	〔艹冖王丶 · lwni〕
垫	〔扌九丶土 · ukig〕
廖	〔广羽人彡 · xzje〕
捣	〔扌鸟山 · uxvs〕
叩	〔口卩 · dzj〕
蜡	〔虫龷日 · clor〕
侮	〔亻𠂉母 · jekm〕
眸	〔目厶牛 · qkqn〕
逛	〔犭王辶 · mnuc〕
芙	〔艹夫 · lhf〕
炒	〔火𡭔丿 · cytp〕
谣	〔讠爫缶 · syaf〕
沫	〔氵一木 · kfem〕
咋	〔口乍 · dwa〕
屯	〔一 · fsc〕
屑	〔尸⺌⺝ · cyvy〕
瑰	〔王鬼 · nag〕
峻	〔山厶八夊 · vkhh〕
喧	〔口宀一一 · dwff〕
晒	〔日西 · ovx〕
莽	〔艹犬廾 · lmlc〕
矢	〔矢 · os〕
熬	〔龶刀攵灬 · aphc〕
龚	〔龙龷八 · tlhb〕
撇	〔扌㡀攵 · ufhp〕
梳	〔木 · eboc〕
醇	〔酉子 · yghi〕
辜	〔古辛 · cnx〕
迄	〔𠂉乙辶 · eauc〕
匙	〔日匕 · otvb〕
嫉	〔女疒矢 · baos〕
睹	〔目耂日 · qqor〕
镑	〔钅冖方 · ziwl〕
诵	〔讠龴 · skty〕
嗅	〔口自犬 · domq〕
痒	〔疒羊 · agy〕
栗	〔覀木 · vem〕
颊	〔夫丷页 · hhwy〕
缅	〔纟面 · ibm〕
缚	〔纟甫寸 · inkc〕
樱	〔木贝贝女 · eoob〕
妒	〔女户 · bmh〕
麟	〔鹿米夕㐄 · xplv〕
逍	〔⺌⺝辶 · yvuc〕
潭	〔氵覀日十 · kvon〕
芯	〔艹心 · lhx〕
郝	〔土阝 · gcte〕
蛛	〔虫丿未 · ctaw〕
凳	〔癶豆几 · hzoj〕
堕	〔阝𠂇⺝土 · tnvg〕
揉	〔扌予丿木 · uite〕
婢	〔女白丿十 · butn〕
梭	〔木厶八夊 · ekhh〕
嗣	〔口㇆口 · diad〕
虞	〔虍口一大 · zdfm〕
垃	〔土立 · gil〕
妓	〔女支 · bci〕
勘	〔㇗力 · zhas〕
篷	〔⺮夂丰辶 · rhau〕
乍	〔乍 · wa〕
桐	〔木冂一口 · emfd〕
缕	〔纟米女 · ipbn〕
叱	〔口 · dvb〕
鲸	〔鱼小 · wgyx〕
贿	〔贝𠂇⺝ · onvy〕
趴	〔⻊八 · phb〕
朽	〔木一ㄅ · efae〕
奎	〔大土土 · mggt〕
钞	〔钅𡭔丿 · zytp〕
磕	〔石土厶皿 · mgka〕
瑶	〔王爫缶 · nyaf〕
隋	〔阝𠂇工⺝ · tnuv〕
憎	〔忄丷囗曰 · hhro〕
蔑	〔艹罒戊丶 · lyni〕
馨	〔士殳日 · gcro〕
杏	〔木口 · edk〕
栋	〔木小 · eryx〕
昼	〔尸丶日一 · ciof〕
苟	〔艹句 · lgj〕
腥	〔月日生 · vols〕
萝	〔艹罒夕 · lylx〕
弩	〔女又弓 · brbg〕
碌	〔石氺 · mbks〕
寝	〔宀丬彐又 · wabr〕
倭	〔亻禾女 · jxbn〕
垮	〔土大二ㄅ · gmma〕
岚	〔山⺇乂 · vobi〕
燥	〔火口口木 · cdde〕
姥	〔女老 · bql〕
沦	〔氵仑 · kjl〕
兀	〔一儿 · fpe〕
铅	〔钅几口 · zodk〕
砂	〔石𡭔丿 · mytp〕
兮	〔八一ㄅ · hfae〕
牟	〔厶牛 · kqn〕
哉	〔十戈口 · npdk〕
浆	〔丬夕水 · alks〕
虐	〔虍 · zbj〕
嗡	〔口八厶羽 · dhkz〕
旷	〔日广 · oxg〕
沮	〔氵且 · kfq〕
帖	〔巾⺊口 · rydk〕
诛	〔讠丿未 · staw〕
鳞	〔鱼米夕㐄 · wplv〕
涯	〔氵厂土土 · kxgg〕
遁	〔⺁十目辶 · xnqu〕
澄	〔氵癶豆 · khzd〕
锤	〔钅千艹士 · zllg〕
滔	〔氵爫臼 · kypj〕
寞	〔宀艹日大 · wlom〕
妆	〔丬女 · abn〕
蹦	〔⻊山月月 · pvvv〕
阮	〔阝二儿 · tmpe〕
募	〔艹日大力 · loms〕
敷	〔甫方攵 · nlhp〕
眯	〔目米 · qpm〕
汹	〔氵㐅凵 · kbmk〕
嘟	〔口耂日阝 · dqot〕
霆	〔⻗㇒士廴 · ttgu〕
褐	〔衤曰勹亾 · tonf〕
畴	〔田寸 · qakc〕
蚕	〔一大虫 · fmcc〕
嚼	〔口爫罒寸 · dyyk〕
奠	〔丷酉大 · hymd〕
榴	〔木田 · ebqt〕
拙	〔扌屮凵 · usmk〕
蚀	〔饣虫 · qcc〕
荫	〔艹阝月 · ltvy〕
鸽	〔亼口鸟 · jdxn〕
咦	〔口大弓 · dmbg〕
甸	〔勹田 · nqt〕
吱	〔口支 · dci〕
泌	〔氵心丿 · khtp〕
暮	〔艹日大日 · lomo〕
挠	〔扌一儿 · upfp〕
叭	〔口八 · dhb〕
灶	〔火土 · cgt〕
峨	〔山丿扌戈 · vtup〕
蓉	〔艹宀谷 · lwhg〕
菱	〔艹土八夊 · lghh〕
稚	〔禾隹 · xui〕
澡	〔氵口口木 · kdde〕
蔓	〔艹曰罒又 · loyr〕
泻	〔氵冖一一 · kwff〕
裘	〔一氺丶衣 · fkit〕
溅	〔氵贝一戈 · kofp〕
丞	〔乛水一 · akfi〕
秉	〔禾 · xbj〕
绒	〔纟戈𠂇 · ipns〕
遏	〔曰勹亾辶 · onfu〕
彬	〔木木彡 · eees〕
熄	〔火自心 · cohx〕
朦	〔月艹冖豕 · vlwj〕
琢	〔王豕丶 · njid〕
膏	〔⺝ · gvy〕
泳	〔氵丶水 · kiks〕
凿	〔业凵 · cgmk〕
敛	〔亼⺍一攵 · jkfh〕
庐	〔广户 · xmh〕
惭	〔忄斤 · hytj〕
畔	〔田丷 · qhus〕
沧	〔氵人⺋ · kjzj〕
酿	〔酉丶艮 · yiig〕
阀	〔门亻戈 · ajpg〕
虔	〔虍文 · zvw〕
侣	〔亻口口 · jddk〕
匀	〔勹冫 · nwb〕
拯	〔扌乛水一 · uakf〕
莺	〔艹冖鸟 · lwxn〕
屿	〔山一ㄅ一 · vfaf〕
沪	〔氵户 · kmh〕
叟	〔臼丨又 · pgry〕
藻	〔艹氵口木 · lkde〕
雍	〔亠乡隹 · ziui〕
瘫	〔疒又隹 · arui〕
蹈	〔⻊爫臼 · pypj〕
揽	〔扌〢见 · upre〕
氢	〔气ス工 · vrug〕
豁	〔宀丰口谷 · wadh〕
骸	〔骨亥 · fkh〕
陋	〔阝一冂㇗ · tfma〕
捂	〔扌五口 · uwdk〕
冶	〔冫厶口 · wkdk〕
懈	〔忄⺈用牛 · hxtq〕
坪	〔土干丷 · gehb〕
蔬	〔艹⺪ · ltbo〕
翘	〔一儿羽 · pfpz〕
嘎	〔口一自戈 · dfop〕
缔	〔纟冖巾 · iiwr〕
钮	〔钅ヿ土 · zagt〕
娥	〔女丿扌戈 · btup〕
讥	〔讠几 · soj〕
晤	〔日五口 · owdk〕
灼	〔火勹丶 · cnid〕
舵	〔舟宀匕 · iwvb〕
纬	〔纟韦 · igw〕
圾	〔土及 · gcj〕
澜	〔氵门束丷 · kaxh〕
茎	〔艹ス工 · lrug〕
鄂	〔口口二阝 · ddmt〕
歹	〔歹 · gd〕
邹	〔⺈彐阝 · xbte〕
枉	〔木王 · enw〕
琉	〔王 · nboc〕
庇	〔广匕 · xvvb〕
杉	〔木彡 · ees〕
跋	〔⻊𠂇又丶 · pnri〕
梢	〔木⺌⺝ · eyvy〕
戳	〔羽隹戈 · zupg〕
蝉	〔虫丷田十 · chqn〕
毯	〔毛火火 · vcch〕
萎	〔艹禾女 · lxbn〕
裳	〔衣 · sti〕
绰	〔纟⺊日十 · iyon〕
佑	〔亻𠂇口 · jndk〕
狸	〔犭里 · mdl〕
拚	〔扌厶廾 · uklc〕
窟	〔穴尸屮凵 · ecsm〕
硫	〔石 · mboc〕
腻	〔月弋二贝 · vpmo〕
憋	〔㡀攵心 · fhhx〕
凹	〔一 · mfi〕
赎	〔贝十乛大 · onam〕
崎	〔山大可 · vmzk〕
烁	〔火小 · cbyx〕
嚣	〔口口页口 · ddwd〕
焕	〔火⺈冂大 · cxmm〕
暑	〔日耂日 · oqor〕
扛	〔扌工 · uug〕
匕	〔匕 · vb〕
揣	〔扌山而 · uvle〕
凸	〔一 · vfi〕
怠	〔厶口心 · kdhx〕
觅	〔爫见 · yej〕
呕	〔口匸㐅 · dnbi〕
孽	〔艹丿㠯子 · ltkh〕
楞	〔木罒方 · eylf〕
矫	〔矢丿大 · otmp〕
潇	〔氵艹肀八 · klbh〕
簇	〔⺮方𠂉矢 · rleo〕
浇	〔氵一儿 · kpfp〕
枣	〔木冂⺀ · emwb〕
绥	〔纟爫女 · iybn〕
芽	〔艹牙 · lly〕
蝇	〔虫黾 · cdm〕
僻	〔亻尸口辛 · jcdn〕
榻	〔木⺜羽 · eozv〕
宦	〔宀臣 · wqc〕
沐	〔氵木 · kem〕
毋	〔毋 · ku kuu〕
碟	〔石廿㇗木 · mlae〕
仕	〔亻士 · jgs〕
戎	〔戈𠂇 · pns〕
呻	〔口日丨 · dogs〕
啼	〔口冖巾 · diwr〕
虾	〔虫一卜 · cfyb〕
樊	〔木乂乂大 · ebbm〕
棕	〔木宀示 · ewfs〕
萌	〔艹日月 · lovy〕
嫣	〔女一止灬 · bfsc〕
伶	〔亻亽龴 · jjks〕
鞘	〔革⺌⺝ · tyvy〕
删	〔册刂 · ipd〕
嵌	〔山甘欠 · vzeq〕
暇	〔日二又 · ocmr〕
蛟	〔虫六乂 · cabi〕
茵	〔艹囗大 · lrmd〕
驯	〔马川 · noc〕
炕	〔火亠几 · czoj〕
碳	〔石山𠂇火 · mvnc〕
烫	〔氵ㄋ火 · kaec〕
咚	〔口夂⺀ · dhwb〕
苑	〔艹夕⺋ · llzj〕
蚂	〔虫马 · cnm〕
厥	〔厂䒑欠 · xhse〕
雯	〔⻗文 · tvw〕
赦	〔土攵 · gchp〕
慷	〔忄广氺 · hxbk〕
旭	〔九日 · kor〕
煎	〔䒑⺝刂灬 · hvpc〕
惕	〔忄日勹 · hone〕
颓	〔禾几页 · xowy〕
坝	〔土贝 · gob〕
悍	〔忄日干 · hoeg〕
匿	〔匸艹𠂇口 · nlnd〕
噪	〔口口口木 · ddde〕
涡	〔氵口冂人 · kdmj〕
禹	〔丿口⽱ · tdvr〕
敝	〔㡀攵 · fhp〕
缸	〔缶工 · aug〕
簿	〔⺮氵甫寸 · rknk〕
坤	〔土日丨 · gogs〕
琐	〔王⺌贝 · nyob〕
蚊	〔虫文 · cvw〕
粟	〔覀米 · vpm〕
诫	〔讠戈廾 · splc〕
髓	〔骨𠂇工辶 · fnuu〕
梵	〔木木几丶 · eeoi〕
溯	〔氵䒑月 · khsv〕
蝴	〔虫古月 · ccvy〕
尬	〔尢人 · ojpd〕
涩	〔氵刀丶止 · kpis〕
揪	〔扌禾火 · uxch〕
窘	〔穴丿口 · ebtd〕
棘	〔木冂木冂 · emem〕
盔	〔𠂇火皿 · ncam〕
喔	〔口尸至 · dcyi〕
婶	〔女宀日丨 · bwog〕
踱	〔⻊广廿又 · pxlr〕
嗜	〔口老日 · dqor〕
啤	〔口白丿十 · dutn〕
哺	〔口甫 · dnf〕
奕	〔亠大 · zcmd〕
淳	〔氵子 · kghi〕
镶	〔钅衣口一 · ztdf〕
晌	〔日丿冂口 · otmd〕
粪	〔米龷八 · plhb〕
铲	〔钅厂 · zixc〕
瑜	〔王亼⺝刂 · njvp〕
冢	〔冖豕丶 · wjid〕
唾	〔口千艹士 · dllg〕
庵	〔广大日乚 · xmoa〕
扼	〔扌厂⺋ · uxzj〕
聋	〔龙耳 · tqe〕
庚	〔广人 · xbjr〕
膛	〔月土 · vsgt〕
疤	〔疒巴 · amb〕
叨	〔口刀 · dpd〕
佟	〔亻夂⺀ · jhwb〕
绷	〔纟月月 · ivvy〕
棱	〔木土八夊 · eghh〕
慑	〔忄耳又又 · hqrr〕
筷	〔⺮忄人 · rhnj〕
庶	〔广廿灬 · xlch〕
沁	〔氵心 · khx〕
渺	〔氵目𡭔丿 · kqyt〕
迂	〔一辶 · fnuc〕
梨	〔禾刂木 · xpem〕
拣	〔扌 · uryx〕
葫	〔艹古月 · lcvy〕
浏	〔氵文刂 · kvpd〕
橡	〔木象 · ewx〕
扳	〔扌⺁又 · uxry〕
嘘	〔口虍业 · dzcy〕
牡	〔牜土 · qgt〕
贮	〔贝宀一 · owfi〕
窍	〔穴工一ㄅ · eufa〕
襟	〔衤木木示 · teef〕
眷	〔丷夫目 · hhqm〕
弧	〔弓瓜 · byg〕
